report_path,tag,seed,L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy,float_precision,float_recall,float_f1,float_roc_auc,float_pr_auc,lut_numpy_accuracy,lut_numpy_precision,lut_numpy_recall,lut_numpy_f1,lut_numpy_roc_auc,lut_numpy_pr_auc,lut_numba_accuracy,lut_numba_precision,lut_numba_recall,lut_numba_f1,lut_numba_roc_auc,lut_numba_pr_auc,float_ms_per_sample,lut_numpy_ms_per_sample,lut_numba_ms_per_sample,lut_numpy_e2e_ms_per_sample,lut_numba_e2e_ms_per_sample,float_params_bytes,float_total_bytes,lut_total_bytes,lut_knots_bytes,lut_q_table_bytes,lut_scale_bytes,lut_y_min_bytes
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_closed_clip_x_spline_component,0,128,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505392629225,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505394962302,149.4659080002457,6.762825399637222,0.0264937998726964,179.4914649799466,176.3771849917248,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_closed_clip_x_spline_component\eval\bs256_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_closed_clip_x_spline_component,0,128,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505392629225,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505394962302,0.8356051269493037,0.06278028516135237,0.014703908209412475,0.7400485546895652,0.7112258594133891,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_closed_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_closed_zero_spline_spline_component,0,128,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566498,0.9990505396587218,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505396514948,147.85598659981042,7.48940119985491,0.02715360000729561,179.319055005908,179.6931100077927,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_closed_zero_spline_spline_component\eval\bs256_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_closed_zero_spline_spline_component,0,128,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566498,0.9990505396587218,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505396514948,0.8305740175819665,0.06650483594057732,0.014189703124429798,0.7375166405836353,0.7042312890916946,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_half_open_clip_x_spline_component,0,128,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505392629225,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505394962302,148.86987720057368,7.044592600315809,0.026783399283885956,178.73670998960733,177.97063500620425,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_half_open_clip_x_spline_component\eval\bs256_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_half_open_clip_x_spline_component,0,128,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505392629225,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505394962302,0.8331904902388487,0.06580247460988176,0.014771658197787474,0.7345722460740944,0.7059923242195509,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_half_open_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_half_open_zero_spline_spline_component,0,128,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566498,0.9990505396587218,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505396514948,147.28751579951495,7.641689799726009,0.026514800265431404,178.86575998272747,179.98090500477701,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_asymmetric_uint8_linear_half_open_zero_spline_spline_component\eval\bs256_tt1_tn1\lut_report_unified.json,seed0_L128_asymmetric_uint8_linear_half_open_zero_spline_spline_component,0,128,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566498,0.9990505396587218,0.9898734177215189,0.9842155919153032,0.9957156767283349,0.9899322362052275,0.9991032231566499,0.9990505396514948,0.8280101288983133,0.06856711524051207,0.014230869146558689,0.7378134179816698,0.7073770508213784,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_symmetric_int8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,seed0_L128_symmetric_int8_linear_closed_clip_x_spline_component,0,128,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898842367196797,0.9842366428540873,0.9957156767283349,0.9899428841872022,0.9991034670903529,0.9990508088975617,0.9898842367196797,0.9842366428540873,0.9957156767283349,0.9899428841872022,0.9991034673244542,0.9990508081527174,146.18784740008414,6.824738199822605,0.025898000225424767,179.41058499272913,176.60532998852432,200368,200368,4390992,144,4257792,66528,66528
experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L128_symmetric_int8_linear_closed_clip_x_spline_component\eval\bs256_tt1_tn1\lut_report_unified.json,seed0_L128_symmetric_int8_linear_closed_clip_x_spline_component,0,128,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086444,0.9843629673996749,0.9957156767283349,0.9900067768897304,0.9991061054136088,0.9990538477962826,0.9898842367196797,0.9842366428540873,0.9957156767283349,0.9899428841872022,0.9991034670903529,0.9990508088975617,0.9898842367196797,0.9842366428540873,0.9957156767283349,0.9899428841872022,0.9991034673244542,0.9990508081527174,0.829360781244759,0.061887150386610294,0.014678890629511443,0.7289948437573912,0.7078623437337228,200368,200368,4390992,144,4257792,66528,66528
